id,date,theater,company,title,genre,author,composer,notes
1,1781-01-21,Bth,Court,Irene,Trauerspiel,Ayrenhoff,NA,"Irene was premiered in the Burgtheater on 21 Jan 1781, and performed only three times before being dropped."
2,1781-01-21,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,NA
3,1781-01-21,Kth,Kinder,Der Sturm,Schauspiel,Shakespeare,NA,"""Der Sturm nach Schakes= / prar [sic] von Schink.""'"
4,1781-01-21,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,"""Matrosen Ballet v. Decamp."""
5,1781-01-22,Bth,Court,Die Feldmühle,Lustspiel,Richter,NA,NA
6,1781-01-22,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,Performed only twice before being dropped.
7,1781-01-22,Kth,French,La Belle Arsène,Comédie mêlée d'ariettes,Favart,Monsigny,"""La Belle Arsene O. 3. A. / avec Ballets"""
8,1781-01-23,Bth,Court,Irene,Trauerspiel,Ayrenhoff,NA,NA
9,1781-01-23,Bth,Court,Die Rechnung ohne den Wirth,Lustspiel,Schletter,NA,NA
10,1781-01-23,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
11,1781-01-23,Kth,Kinder,Die Geschwisterliebe,Schauspiel,Weiße,NA,NA
12,1781-01-23,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,NA
13,1781-01-24,Bth,Court,Juliane von Lindorak,Lustspiel,Gozzi,NA,"""Juliane v. Lindorack. / L. in 5 A. n. Gozzi / v. Schöder."""
14,1781-01-24,Bth,Court,Der Bettelstudent,Lustspiel,Weidmann,NA,"""Der Bettelstudent L. in / 2. A. v. Weidmann."""
15,1781-01-24,Kth,French,"L'Amant jaloux, ou les Fausses Apparences",Comédie mêlée d'ariettes,Hales,Grétry,NA
16,1781-01-24,Kth,French,No title,Ballet,unknown,unknown,"""D. Ballet."""
17,1781-01-25,Bth,Court,Der Barbier von Sevilien,Lustspiel,Beaumarchais,NA,NA
18,1781-01-25,Kth,Kinder,Der Sturm,Schauspiel,Shakespeare,NA,NA
19,1781-01-25,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,NA
20,1781-01-26,Bth,Court,Die donnernde Legion,Oratorio,Weidmann,Bartha,"Morrow (249) cites a poster in the Theatermuseum, but does not give the title. Weidmann is named as the librettist on Czech Wikipedia. His name is not on the libretto."
24,1781-01-26,Kth,Kinder,Die kleine Aehrenleserin,Lustspiel,Weiße,NA,NA
25,1781-01-26,Kth,Kinder,Die Kroaten,Ballet,Mirek,unknown,NA
21,1781-01-27,Bth,Court,Irene,Trauerspiel,Ayrenhoff,NA,"Final performance.""Irene. / (Die Einnahme war / Mlle. Jaquet bestimmt."""
22,1781-01-27,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,NA
23,1781-01-27,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
26,1781-01-27,Bth,Court,Betrug für Betrug,Lustspiel,Schletter,NA,NA
27,1781-01-28,Kth,French,"Aline, reine de Golconde",Opéra-ballet,Sedaine,Monsigny,"""La Reine Golconde op. / 3. A. et Ballet."""
28,1781-01-29,Bth,Court,Der Bettler,Lustspiel,Goldoni,NA,NA
29,1781-01-29,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,Second of only two performances before being dropped.
30,1781-01-29,Kth,Kinder,Edelmuth in Niedrigkeit,Lustspiel,Weiße,NA,"""Edelmuth in Niederigkeit. / L. 1. A. Die Strafe im / Sturz. B. v Sacco."""
31,1781-01-29,Kth,Kinder,Die Strafe im Sturz,Ballet,Sacco,unknown,NA
32,1781-01-30,Bth,Court,Das Landmädchen,Lustspiel,Wycherley,NA,"""Das Landmädchen L. in / 5. A. a. d. Engl."""
33,1781-01-30,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,"""Zemire &. Azor. O. 4. A. / et Ballet."""
34,1781-01-31,Bth,Court,Der Westindier,Lustspiel,Cumberland,NA,NA
35,1781-01-31,Kth,Kinder,Präsentirt das Gewehr,Lustspiel,Müller,NA,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Präsentirt das Gewehr had been in the repertory of the court theater since 17 Jun 1775, but this performance in the Kärntnertortheater is not in Hadamowsky."
36,1781-01-31,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Not specified whether this is actually the ""Matrosen Ballet"" of earlier in the month."
37,1781-02-01,Bth,Court,Die Verlobung,Lustspiel,Brömel,NA,NA
38,1781-02-01,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,"""Die schöne Schusterinn / S. in 2. A. a. d. Fr."""
39,1781-02-01,Kth,French,La Rosière de Salency,Opéra comique,Favart,Philidor,"""La Rosiere de Salency O. / 3. A. et Ballet.""A German version, Das Rosenfest zu Salenci, has been in the repertory of the court theater company since 9 Sep 1779."
40,1781-02-02,Bth,NA,"Concert, Peter Winter and Franz Tausch",NA,NA,NA,"""Musikalische Akademie zum Vortheil der Herrn Winter und Tausch. In Churbayer. Diensten.""Cf. 26 Mar"
41,1781-02-03,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,"""Wahrheit ist gut Ding / L. in 5. A. / nach dem Lügner d. Gold. / frey bearbeitet v. Schle= / ter."""
42,1781-02-03,Kth,French,Le Barbier de Séville,Comédie,Beaumarchais,NA,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A."""
43,1781-02-03,Kth,French,La Belle Cordonniere,Opéra comique,unknown,unknown,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A.""May be Les souliers mors-dorés, ou La cordonniere allemande (see work record)."
44,1781-02-04,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,"""Die kleine Näscherinn. L. / 1. A. die Horazier. B.""Probably = to ""Die Näscherinn""?"
45,1781-02-04,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
46,1781-02-04,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,NA
47,1781-02-05,Bth,Court,Die junge Indianerinn,Lustspiel,Chamfort,NA,Earliest Viennese performance in Hadamowsky on 5 Apr 1769 in the Kärntnertortheater.
48,1781-02-05,Bth,Court,Was erhält die Männer treu?,Singspiel,Zehnmark,Ruprecht,NA
49,1781-02-05,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
50,1781-02-05,Kth,French,No title,Ballet,unknown,unknown,NA
51,1781-02-06,Bth,Court,Die Holländer,Lustspiel,Goldoni,NA,NA
52,1781-02-06,Kth,Kinder,Die natürliche Zauberey,Lustspiel,Weiße,NA,NA
53,1781-02-06,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
54,1781-02-07,Bth,Court,Erwine von Steinheim,Trauerspiel,Blumauer,NA,"""Ermine [sic] v. Steinheim / Tr. im 5. A. v. Blum= / auer."""
55,1781-02-07,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,Hadamowsky has a production by the court theater premiering on 27 Jun 1809.
56,1781-02-07,Kth,French,No title,Ballet,unknown,unknown,NA
57,1781-02-08,Bth,Court,Bekir und Gulroui,Lustspiel,Cardonne,NA,NA
58,1781-02-08,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,NA
59,1781-02-08,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
60,1781-02-08,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
61,1781-02-09,Bth,NA,"Concert, Johann Konrad Schlick and Christian Danner",NA,NA,NA,"""Musikalische Akademie. zum Vortheil Herrn. Schlick. K. M. aus Gotha und Herrn Tanner aus München."""
62,1781-02-10,Bth,Court,Der Hausvater,Lustspiel,Diderot,NA,Only performance in 1781. First performed in Vienna in 1770.
63,1781-02-10,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,NA,NA
64,1781-02-10,Kth,Kinder,Adelheid von Ponthieu,Ballet,Noverre,Starzer,"""Adelheit v. Ponthieu, B."""
