date,theater,company,title,genre,author,composer,id
1781-01-21,Bth,Court,Irene,Trauerspiel,Ayrenhoff,,
1781-01-21,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,
1781-01-21,Kth,Kinder,Der Sturm,Schauspiel,Shakespeare,,
1781-01-21,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,
1781-01-22,Bth,Court,Die Feldmühle,Lustspiel,Richter,,
1781-01-22,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,
1781-01-22,Kth,French,La Belle Arsène,Comédie mêlée d'ariettes,Favart,Monsigny,
1781-01-23,Bth,Court,Irene,Trauerspiel,Ayrenhoff,,
1781-01-23,Bth,Court,Die Rechnung ohne den Wirth,Lustspiel,Schletter,,
1781-01-23,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,
1781-01-23,Kth,Kinder,Die Geschwisterliebe,Schauspiel,Weiße,,
1781-01-23,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,
1781-01-24,Bth,Court,Juliane von Lindorak,Lustspiel,Gozzi,,
1781-01-24,Bth,Court,Der Bettelstudent,Lustspiel,Weidmann,,
1781-01-24,Kth,French,"L'Amant jaloux, ou les Fausses Apparences",Comédie mêlée d'ariettes,Hales,Grétry,
1781-01-24,Kth,French,No title,Ballet,unknown,unknown,
1781-01-25,Bth,Court,Der Barbier von Sevilien,Lustspiel,Beaumarchais,,
1781-01-25,Kth,Kinder,Der Sturm,Schauspiel,Shakespeare,,
1781-01-25,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,
1781-01-26,Bth,Court,Die donnernde Legion,Oratorio,Weidmann,Bartha,
1781-01-26,Kth,Kinder,Die kleine Aehrenleserin,Lustspiel,Weiße,,
1781-01-26,Kth,Kinder,Die Kroaten,Ballet,Mirek,unknown,
1781-01-27,Bth,Court,Irene,Trauerspiel,Ayrenhoff,,
1781-01-27,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,
1781-01-27,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,
1781-01-27,Bth,Court,Betrug für Betrug,Lustspiel,Schletter,,
1781-01-28,Kth,French,"Aline, reine de Golconde",Opéra-ballet,Sedaine,Monsigny,
1781-01-29,Bth,Court,Der Bettler,Lustspiel,Goldoni,,
1781-01-29,Bth,Court,Die Freundschaft auf der Probe,Singspiel,Marmontel,Grétry,
1781-01-29,Kth,Kinder,Edelmuth in Niedrigkeit,Lustspiel,Weiße,,
1781-01-29,Kth,Kinder,Die Strafe im Sturz,Ballet,Sacco,unknown,
1781-01-30,Bth,Court,Das Landmädchen,Lustspiel,Wycherley,,
1781-01-30,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,
1781-01-31,Bth,Court,Der Westindier,Lustspiel,Cumberland,,
1781-01-31,Kth,Kinder,Präsentirt das Gewehr,Lustspiel,Müller,,
1781-01-31,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,
1781-02-01,Bth,Court,Die Verlobung,Lustspiel,Brömel,,
1781-02-01,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,
1781-02-01,Kth,French,La Rosière de Salency,Opéra comique,Favart,Philidor,
1781-02-02,Bth,,"Concert, Peter Winter and Franz Tausch",,,,
1781-02-03,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,,
1781-02-03,Kth,French,Le Barbier de Séville,Comédie,Beaumarchais,,
1781-02-03,Kth,French,La Belle Cordonniere,Opéra comique,unknown,unknown,
1781-02-04,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,
1781-02-04,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,
1781-02-04,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,,
1781-02-05,Bth,Court,Die junge Indianerinn,Lustspiel,Chamfort,,
1781-02-05,Bth,Court,Was erhält die Männer treu?,Singspiel,Zehnmark,Ruprecht,
1781-02-05,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,
