id,last_name,first_names,birth,death,notes
41,Albrechtsberger,Johann Georg,1736,1809,NA
16,Anfossi,Pasquale,1727,1797,NA
6,Bartha,Joseph,1744,1787,"Also Josef Bárta, Bartta"
15,Benda,Georg,1722,1795,NA
28,Ciampi,Vincenzo Legrenzio,1719,1762,NA
20,Coignet,Horace,1735,1821,NA
22,d'Herbain,"Jean-Louis Cuchot, Chevalier",1720,1768,NA
31,Dezède,Nicolas-Alexandre,1740,1792,NA
17,Duni,Egidio,1709,1775,NA
24,Framery,Nicolas-Étienne,1745,1810,NA
12,Gassmann,Florian Leopold,1729,1774,NA
11,Gluck,Christoph Willibald,1714,1787,NA
14,Gossec,François-Joseph,1734,1829,NA
3,Grétry,André Ernest Modeste,1741,1813,NA
36,Guglielmi,Pietro Alessandro,1728,1804,NA
39,Hasse,Johann Adolf,1699,1783,First performed in Vienna on 8 Oct 1760.
33,Jast,Herr,NA,NA,NA
30,Just,Johann August,1750,1791,NA
13,Kriner,NA,NA,NA,Perhaps Joseph Krinner (c1745–c1806)?
10,Martini,Jean-Paul-Égide,1741,1816,NA
19,Miča,František Adam,1746,1811,Also Franz Adam Ritter von Mitscha
25,Michl,Joseph Willibald,1745,1816,NA
4,Monsigny,Pierre-Alexandre,1729,1817,NA
1,NA,NA,NA,NA,NA
23,Paisiello,Giovanni,1740,1816,NA
8,Philidor,François-André Danican,1726,1795,NA
29,Piccinni,Niccolò,1728,1800,NA
40,Righini,Vicenzo,1756,1812,NA
9,Ruprecht,Martin,1755,1800,NA
34,Sacchini,Antonio,1730,1786,NA
21,Salieri,Antonio,1750,1825,NA
32,Sardi,Joseph,NA,1788,NA
27,Starzer,Joseph,1726,1787,NA
7,Umlauf,Ignaz,1746,1796,NA
2,unknown,NA,NA,NA,NA
38,Vachon,Pierre,1738,1803,NA
37,Walter,Ignaz,1755,1822,NA
35,Winter,Peter von,1754,1825,"On Winter, see Frensdorf's 1908 dissertation:https://books.google.com/books?id=OZNNAQAAMAAJ&lpg=PA32&ots=WYmb3zm8x3&pg=PP5#v=onepage&q&f=false"
26,Zanetti,Francesco,1737,1788,NA
18,Zimmermann,Anton,1741,1781,NA
