id,date_id,theater,company,event_type,hadamowsky,morrow,notes
1,1/21/1781,Bth,Court,premiere,Yes,NA,"Irene was premiered in the Burgtheater on 21 Jan 1781, and performed only three times before being dropped."
2,1/21/1781,Bth,Court,reprise,Yes,NA,NA
3,1/21/1781,Kth,Kinder,reprise,No,NA,"""Der Sturm nach Schakes= / prar [sic] von Schink.""'"
4,1/21/1781,Kth,Kinder,reprise,No,NA,"""Matrosen Ballet v. Decamp."""
5,1/22/1781,Bth,Court,reprise,Yes,NA,NA
6,1/22/1781,Bth,Court,premiere,Yes,NA,Performed only twice before being dropped.
7,1/22/1781,Kth,French,reprise,No,NA,"""La Belle Arsene O. 3. A. / avec Ballets"""
8,1/23/1781,Bth,Court,reprise,Yes,NA,NA
9,1/23/1781,Bth,Court,reprise,Yes,NA,NA
10,1/23/1781,Kth,Kinder,reprise,Yes,NA,NA
11,1/23/1781,Kth,Kinder,reprise,No,NA,NA
12,1/23/1781,Kth,Kinder,reprise,No,NA,NA
13,1/24/1781,Bth,Court,reprise,Yes,NA,"""Juliane v. Lindorack. / L. in 5 A. n. Gozzi / v. Schöder."""
14,1/24/1781,Bth,Court,reprise,Yes,NA,"""Der Bettelstudent L. in / 2. A. v. Weidmann."""
15,1/24/1781,Kth,French,reprise,No,NA,NA
16,1/24/1781,Kth,French,reprise,No,NA,"""D. Ballet."""
17,1/25/1781,Bth,Court,reprise,Yes,NA,NA
18,1/25/1781,Kth,Kinder,reprise,No,NA,NA
19,1/25/1781,Kth,Kinder,reprise,No,NA,NA
20,1/26/1781,Bth,Court,concert,No,Yes,"Morrow (249) cites a poster in the Theatermuseum, but does not give the title. Weidmann is named as the librettist on Czech Wikipedia. His name is not on the libretto."
24,1/26/1781,Kth,Kinder,reprise,No,NA,NA
25,1/26/1781,Kth,Kinder,reprise,No,NA,NA
21,1/27/1781,Bth,Court,benefit,Yes,NA,"Final performance.""Irene. / (Die Einnahme war / Mlle. Jaquet bestimmt."""
22,1/27/1781,Bth,Court,reprise,Yes,NA,NA
23,1/27/1781,Kth,Kinder,reprise,No,NA,NA
26,1/27/1781,Bth,Court,reprise,Yes,NA,NA
27,1/28/1781,Kth,French,reprise,No,NA,"""La Reine Golconde op. / 3. A. et Ballet."""
28,1/29/1781,Bth,Court,reprise,Yes,NA,NA
29,1/29/1781,Bth,Court,reprise,Yes,NA,Second of only two performances before being dropped.
30,1/29/1781,Kth,Kinder,reprise,No,NA,"""Edelmuth in Niederigkeit. / L. 1. A. Die Strafe im / Sturz. B. v Sacco."""
31,1/29/1781,Kth,Kinder,reprise,No,NA,NA
32,1/30/1781,Bth,Court,reprise,Yes,NA,"""Das Landmädchen L. in / 5. A. a. d. Engl."""
33,1/30/1781,Kth,French,reprise,No,NA,"""Zemire &. Azor. O. 4. A. / et Ballet."""
34,1/31/1781,Bth,Court,reprise,Yes,NA,NA
