id,date_id,title,theater,company,event_type,hadamowsky,morrow,notes
1,1781-01-21,Irene,Bth,Court,premiere,Yes,NA,"Irene was premiered in the Burgtheater on 21 Jan 1781, and performed only three times before being dropped."
5,1781-01-22,Die Feldmühle,Bth,Court,reprise,Yes,NA,NA
8,1781-01-23,Irene,Bth,Court,reprise,Yes,NA,NA
13,1781-01-24,Juliane von Lindorak,Bth,Court,reprise,Yes,NA,"""Juliane v. Lindorack. / L. in 5 A. n. Gozzi / v. Schöder."""
17,1781-01-25,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
20,1781-01-26,Die donnernde Legion,Bth,Court,concert,No,Yes,"Morrow (249) cites a poster in the Theatermuseum, but does not give the title. Weidmann is named as the librettist on Czech Wikipedia. His name is not on the libretto."
21,1781-01-27,Irene,Bth,Court,benefit,Yes,NA,"Final performance.""Irene. / (Die Einnahme war / Mlle. Jaquet bestimmt."""
27,1781-01-28,"Aline, reine de Golconde",Kth,French,reprise,No,NA,"""La Reine Golconde op. / 3. A. et Ballet."""
28,1781-01-29,Der Bettler,Bth,Court,reprise,Yes,NA,NA
32,1781-01-30,Das Landmädchen,Bth,Court,reprise,Yes,NA,"""Das Landmädchen L. in / 5. A. a. d. Engl."""
34,1781-01-31,Der Westindier,Bth,Court,reprise,Yes,NA,NA
37,1781-02-01,Die Verlobung,Bth,Court,reprise,Yes,NA,NA
40,1781-02-02,"Concert, Peter Winter and Franz Tausch",Bth,NA,concert,No,No,"""Musikalische Akademie zum Vortheil der Herrn Winter und Tausch. In Churbayer. Diensten.""Cf. 26 Mar"
41,1781-02-03,Wahrheit ist gut Ding,Bth,Court,premiere,Yes,NA,"""Wahrheit ist gut Ding / L. in 5. A. / nach dem Lügner d. Gold. / frey bearbeitet v. Schle= / ter."""
44,1781-02-04,Die Näscherinn,Kth,Kinder,reprise,No,NA,"""Die kleine Näscherinn. L. / 1. A. die Horazier. B.""Probably = to ""Die Näscherinn""?"
47,1781-02-05,Die junge Indianerinn,Bth,Court,reprise,Yes,NA,Earliest Viennese performance in Hadamowsky on 5 Apr 1769 in the Kärntnertortheater.
51,1781-02-06,Die Holländer,Bth,Court,reprise,Yes,NA,NA
54,1781-02-07,Erwine von Steinheim,Bth,Court,reprise,Yes,NA,"""Ermine [sic] v. Steinheim / Tr. im 5. A. v. Blum= / auer."""
57,1781-02-08,Bekir und Gulroui,Bth,Court,reprise,Yes,NA,NA
61,1781-02-09,"Concert, Johann Konrad Schlick and Christian Danner",Bth,NA,concert,No,NA,"""Musikalische Akademie. zum Vortheil Herrn. Schlick. K. M. aus Gotha und Herrn Tanner aus München."""
62,1781-02-10,Der Hausvater,Bth,Court,reprise,Yes,NA,Only performance in 1781. First performed in Vienna in 1770.
65,1781-02-11,Die Wildschützen,Bth,Court,reprise,Yes,NA,NA
68,1781-02-12,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,Premiere in the Burgtheater on 26 Jul 1780
71,1781-02-13,Der Spleen,Bth,Court,reprise,Yes,NA,NA
75,1781-02-14,Der Graf von Walltron,Bth,Court,reprise,Yes,NA,NA
78,1781-02-15,Die Liebe unter den Handwerksleuten,Bth,Court,reprise,Yes,NA,NA
81,1781-02-16,"Concert, Anton Ulbrich",Bth,NA,concert,No,No,"""Musikalische Akadamie zum Vortheil Hr. Anton Ulbrich, von WIen.""""Anton"" may have been either Anton Ignaz Ulbrich (1706–1796) or his son Anton Johann Nepomuk (1754–1830), both trombonists. Neither is known to have composed. One wonders whether this might have been a family concert, perhaps also including Johann Nepomuk Maximilian (1743–1814), who was a composer."
82,1781-02-17,Das Loch in der Thüre,Bth,Court,premiere,Yes,NA,NA
86,1781-02-18,Das Loch in der Thüre,Bth,Court,reprise,Yes,NA,NA
89,1781-02-19,Die Liebe unter den Handwerksleuten,Bth,Court,reprise,Yes,NA,NA
93,1781-02-20,Der Jurist und der Bauer,Bth,Court,reprise,Yes,NA,NA
