id,event_id,work_id
158,181,106
292,326,106
251,280,154
354,392,154
542,589,154
127,148,81
144,166,81
339,376,81
62,64,47
103,106,47
443,487,211
456,500,211
495,540,211
539,586,211
658,712,211
141,163,94
227,253,94
469,514,220
482,527,220
673,727,220
75,77,56
121,142,75
572,621,75
636,690,261
657,711,261
668,722,261
677,735,261
27,27,20
15,15,13
471,516,13
473,518,13
577,626,13
631,685,13
136,157,89
48,49,37
263,295,37
267,299,37
359,397,37
362,400,37
505,550,37
606,656,37
370,409,200
525,571,200
64,66,49
118,122,49
409,450,49
436,480,49
600,649,49
132,153,85
154,176,85
181,205,85
324,359,85
215,241,138
218,244,138
268,300,138
420,463,138
92,94,66
171,194,66
179,203,66
325,360,66
604,654,253
609,659,253
212,237,136
451,495,136
210,235,135
41,42,32
17,17,15
316,351,15
357,395,15
425,468,15
534,581,15
613,663,15
417,460,209
423,466,209
301,335,174
56,57,42
373,412,42
7,7,8
351,389,8
367,406,8
559,607,8
590,639,8
42,43,33
544,591,33
566,614,33
634,688,33
26,26,19
366,405,19
518,564,19
14,14,12
201,226,12
28,28,21
405,446,21
71,73,53
385,425,53
393,433,53
422,465,53
519,565,53
650,704,53
199,223,127
532,579,234
545,592,234
196,220,124
488,533,227
680,739,272
297,331,172
304,338,172
375,414,172
441,485,172
669,723,172
333,369,191
342,379,191
404,445,191
284,317,166
298,332,173
149,171,100
380,420,100
565,613,100
166,189,109
387,427,109
77,79,58
276,309,58
374,413,58
459,504,58
663,717,58
579,628,244
198,222,126
305,339,126
526,572,126
654,708,126
611,661,255
623,673,255
129,150,83
161,184,83
442,486,83
520,566,83
286,320,167
288,322,167
313,348,167
410,451,167
474,519,167
522,568,167
306,341,176
328,364,176
428,472,176
546,593,176
649,703,265
110,114,71
20,20,16
630,684,259
643,697,259
667,721,259
81,84,62
97,100,62
347,385,195
352,390,195
377,416,195
413,454,195
177,201,115
453,497,115
160,183,107
30,30,22
252,282,155
513,558,155
57,58,44
100,103,44
159,182,44
597,646,44
207,232,133
214,239,133
222,248,133
234,261,133
278,311,133
303,337,133
381,421,133
411,452,133
439,483,133
475,520,133
490,535,133
510,555,133
610,660,133
670,724,133
363,402,199
168,191,111
183,207,111
137,158,90
571,620,240
429,473,210
438,482,210
489,534,210
485,530,225
501,546,225
620,670,225
53,54,40
372,411,40
240,268,148
570,619,148
574,623,242
556,604,238
558,606,238
591,640,238
637,691,238
117,121,73
289,323,73
508,553,73
294,328,170
54,55,41
259,291,41
272,305,41
312,347,41
400,441,41
593,642,41
640,694,41
681,740,41
260,292,158
396,436,158
446,490,213
5,5,6
660,714,267
270,303,161
274,307,161
521,567,161
157,179,105
138,159,91
371,410,91
204,229,131
72,74,54
2,2,7
6,6,7
22,22,7
29,29,7
568,617,239
672,726,239
293,327,169
300,334,169
678,736,271
126,147,80
128,149,80
194,217,80
285,319,80
133,154,86
368,407,86
523,569,86
180,204,117
11,11,10
232,259,10
528,574,10
628,680,10
398,439,205
401,442,205
440,484,205
465,510,218
73,75,55
299,333,55
131,152,84
364,403,84
638,692,84
455,499,215
323,358,187
200,225,128
599,648,128
61,63,46
84,87,46
105,109,46
113,117,46
231,258,46
134,155,87
369,408,87
467,512,87
560,608,87
616,666,257
60,62,45
256,288,157
258,290,157
279,312,157
336,372,157
407,448,157
674,732,157
205,230,132
551,598,132
321,356,186
233,260,145
497,542,145
50,51,38
633,687,38
123,144,77
139,160,92
44,45,34
52,53,34
59,60,34
67,70,34
85,88,34
93,96,34
107,111,34
115,119,34
