id,title,sort_title,genre,notes,url,author,composer
47,Adelheid von Ponthieu,Adelheid von Ponthieu,Ballet,"Noverre and Starzer's ballet d'action in 5 acts Adèle de Ponthieu was first performed in the Burgtheater in 1773. The ballet performed in 1781 might have been the ""imitation"" by ""Herr Vogt"" (either Peter or his brother Elias) that was in the repertory of the Böhm company from at least 1779; see https://sites.google.com/site/mozartdocuments/documents/1780-05-01.",https://books.google.com/books?id=vfx2FF8fNggC&pg=PA1#v=onepage&q&f=false,"Noverre, Jean-Georges","Starzer, Joseph"
211,Adelheit von Veltheim,Adelheit von Veltheim,Singspiel,"The composer attribution is from the title page of the Viennese libretto; it is not Neefe's setting. The music for Sardi's version is unknown. ""Aufgefüht im k. k. Nationaltheater von der in / der Schauspielkunst sich übenden Jugend.""",https://books.google.com/books?id=RTJJAAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Großmann, Gustav Friedrich Wilhelm","Sardi, Joseph"
220,Der Aepfeldieb,Aepfeldieb,Singspiel,"""Herr Jast"" is the attribution on the libretto. Perhaps Just?",https://books.google.com/books?id=ZyVxt0M0kjAC&pg=PA1#v=onepage&q&f=false,"Bretzner, Christoph Friedrich","Jast, Herr"
56,Agamemnon,Agamemnon,Ballet,"Noverre's Agamemnon vengé was first performed in Vienna in 1772 with music by Franz Aspelmayr. The ballet performed in 1781 was probably Decamp's ""Wiederhestellung"" of Noverre's scenario, Der gerächte Agamemnon (Vienna 1780).",https://books.google.com/books?id=0ZdDAAAAcAAJ&pg=PA1#v=onepage&q&f=false,Decamp,unknown
20,"Aline, reine de Golconde","Aline, reine de Golconde",Opéra-ballet,"Viennese libretto, 1780: ""Representé pour la premiere fois à Vienne, pour le / Benefice de M. DUPONT."" Monsigny and Sedaine's opéra-ballet Aline, reine da Golconde was first performed in Paris on 12 Apr 1766 with choreography by Jean-Barthèlemy Lany.",http://data.onb.ac.at/rep/10652DFA,"Sedaine, Michel-Jean","Monsigny, Pierre-Alexandre"
13,"L'Amant jaloux, ou les Fausses Apparences","Amant jaloux, ou les Fausses Apparences",Comédie mêlée d'ariettes,"L'Amant jaloux, with music by Grétry, a book by Thomas Hales, and verse sections by F. Levasseur, was first performed at Versailles on 20 Nov 1778.",https://books.google.com/books?id=6SM_AAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Hales, Thomas","Grétry, André Ernest Modeste"
89,"L'Amant, Auteur et Valet","Amant, Auteur et Valet",Comédie,"Cérou's L'Amant, Auteur et Valet was first performed in Paris by the Comédiens italiens on 8 Feb 1740.",https://books.google.com/books?id=IZoTAAAAQAAJ&pg=PA1#v=onepage&q&f=false,"Cérou, Pierre",NA
37,L'Ami de la maison,Ami de la maison,Comédie mêlée d'ariettes,L'Ami de la maison was first performed at Fontainebleau on 26 Oct 1771.,https://books.google.com/books?id=ZWtXAAAAcAAJ&newbks=1&pg=PP5#v=onepage&q&f=false,"Marmontel, Jean-Françoise","Grétry, André Ernest Modeste"
200,L'Amitié à l'epreuve,Amitié à l'epreuve,Comédie mêlée d'ariettes,First performed at Fontainebleau on 13 Nov 1770.,https://books.google.com/books?id=sAP4qF503b4C&pg=PA1#v=onepage&q&f=false,"Favart, Charles-Simon","Grétry, André Ernest Modeste"
49,L'Amoreux de quinze ans,Amoreux de quinze ans,Comédie mêlée d'ariettes,First performed by the Comédiens italiens in Paris on 18 Apr 1771.,https://books.google.com/books?id=Di5MAAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Laujon, Pierre","Martini, Jean-Paul-Égide"
135,L'Avocat Patelin,Avocat Patelin,Comédie,First performed by the Comédiens françois in Paris on 4 Jun 1706.,https://books.google.com/books?id=IiQ_AAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Brueys, David Augustin de",NA
32,Le Barbier de Séville,Barbier de Séville,Comédie,Le Barbier de Séville was first performed by the Comédie Française in Paris on 23 Feb 1775.,https://books.google.com/books?id=eI0HAAAAQAAJ&pg=PA1#v=onepage&q&f=false,"Beaumarchais, Pierre-Augustin Caron de",NA
209,Les Battus paient l'amende,Battus paient l'amende,Comédie,"Two works with this subtitle on CÉSAR: Le Poulet ou les Battu paient l'amende (Carrogis, 1768); Janot, ou les Battus paient l'amende (Archambault, 1779). Schletter's ""patient"" is evidently an error.",https://books.google.com/books?id=Fl1oAAAAcAAJ&pg=PA1#v=onepage&q&f=false,unknown,unknown
174,Bauern verstehn nicht Spaß,Bauern verstehn nicht Spaß,Ballet,This ballet remains unidentified.,NA,unknown,unknown
