id,title,sort_title,genre,notes,url,author,composer
106,Die abgenöthige Einwilligung,abgenoethige einwilligung,Lustspiel,Adapted from Le Consentement forcé,NA,"Gebler, Tobias Philipp von",NA
NA,NA,NA,NA,NA,NA,"Guyot de Merville, Michel",NA
154,Die abgeredte Zauberey,abgeredte zauberey,Singspiel,NA,NA,"Marmontel, Jean-Françoise","Grétry, André Ernest Modeste"
NA,NA,NA,NA,NA,NA,"Stephanie d. J., Johann Gottlieb",NA
81,"Adelaide, oder die Antipathie gegen die Liebe","adelaide, oder die antipathie gegen die liebe",Lustspiel,Adapted from Du Doyer's Adélaïde ou l'Antipathie contre l'amour (1780),NA,"Du Doyer de Gastels, Gérard",NA
NA,NA,NA,NA,NA,NA,"Schröder, Friedrich Ludwig",NA
47,Adelheid von Ponthieu,adelheid von ponthieu,Ballet,"Noverre and Starzer's ballet d'action in 5 acts Adèle de Ponthieu was first performed in the Burgtheater in 1773. The ballet performed in 1781 might have been the ""imitation"" by ""Herr Vogt"" (either Peter or his brother Elias) that was in the repertory of the Böhm company from at least 1779; see https://sites.google.com/site/mozartdocuments/documents/1780-05-01.",https://books.google.com/books?id=vfx2FF8fNggC&pg=PA1#v=onepage&q&f=false,"Noverre, Jean-Georges","Starzer, Joseph"
NA,NA,NA,NA,NA,NA,"Vogt, Herr",NA
211,Adelheit von Veltheim,adelheit von veltheim,Singspiel,"The composer attribution is from the title page of the Viennese libretto; it is not Neefe's setting. The music for Sardi's version is unknown. ""Aufgefüht im k. k. Nationaltheater von der in / der Schauspielkunst sich übenden Jugend.""",https://books.google.com/books?id=RTJJAAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Großmann, Gustav Friedrich Wilhelm","Sardi, Joseph"
94,"Adrast und Isidore, oder die Nachtmusik","adrast und isidore, oder die nachtmusik",Singspiel,Performed only twice,NA,"Bretzner, Christoph Friedrich","Miča, František Adam"
NA,NA,NA,NA,NA,NA,"Molière, Jean-Baptiste Poquelin, dit",NA
