id,title,sort_title,genre,notes,url
106,Die abgenöthige Einwilligung,abgenoethige einwilligung,Lustspiel,Adapted from Le Consentement forcé,
154,Die abgeredte Zauberey,abgeredte zauberey,Singspiel,,
81,"Adelaide, oder die Antipathie gegen die Liebe","adelaide, oder die antipathie gegen die liebe",Lustspiel,Adapted from Du Doyer's Adélaïde ou l'Antipathie contre l'amour (1780),
47,Adelheid von Ponthieu,adelheid von ponthieu,Ballet,"Noverre and Starzer's ballet d'action in 5 acts Adèle de Ponthieu was first performed in the Burgtheater in 1773. The ballet performed in 1781 might have been the ""imitation"" by ""Herr Vogt"" (either Peter or his brother Elias) that was in the repertory of the Böhm company from at least 1779; see https://sites.google.com/site/mozartdocuments/documents/1780-05-01.",https://books.google.com/books?id=vfx2FF8fNggC&pg=PA1#v=onepage&q&f=false
211,Adelheit von Veltheim,adelheit von veltheim,Singspiel,"The composer attribution is from the title page of the Viennese libretto; it is not Neefe's setting. The music for Sardi's version is unknown. ""Aufgefüht im k. k. Nationaltheater von der in / der Schauspielkunst sich übenden Jugend.""",https://books.google.com/books?id=RTJJAAAAcAAJ&pg=PA1#v=onepage&q&f=false
287,Der Adjutant,adjutant,Lustspiel,In the repertory of the Nationaltheater since 23 Oct 1779.,
94,"Adrast und Isidore, oder die Nachtmusik","adrast und isidore, oder die nachtmusik",Singspiel,Performed only twice,
220,Der Aepfeldieb,aepfeldieb,Singspiel,"""Herr Jast"" is the attribution on the libretto. Perhaps Just?",https://books.google.com/books?id=ZyVxt0M0kjAC&pg=PA1#v=onepage&q&f=false
56,Agamemnon,agamemnon,Ballet,"Noverre's Agamemnon vengé was first performed in Vienna in 1772 with music by Franz Aspelmayr. The ballet performed in 1781 was probably Decamp's ""Wiederhestellung"" of Noverre's scenario, Der gerächte Agamemnon (Vienna 1780).",https://books.google.com/books?id=0ZdDAAAAcAAJ&pg=PA1#v=onepage&q&f=false
75,Agnes Bernauerinn,agnes bernauerinn,Trauerspiel,,
261,Alceste,alceste,Tragedia per musica,,
282,Alcide al bivio,alcide al bivio,Festa teatrale,,
20,"Aline, reine de Golconde","aline, reine de golconde",Opéra-ballet,"Viennese libretto, 1780: ""Representé pour la premiere fois à Vienne, pour le / Benefice de M. DUPONT."" Monsigny and Sedaine's opéra-ballet Aline, reine da Golconde was first performed in Paris on 12 Apr 1766 with choreography by Jean-Barthèlemy Lany.",http://data.onb.ac.at/rep/10652DFA
13,"L'Amant jaloux, ou les Fausses Apparences","amant jaloux, ou les fausses apparences",Comédie mêlée d'ariettes,"L'Amant jaloux, with music by Grétry, a book by Thomas Hales, and verse sections by F. Levasseur, was first performed at Versailles on 20 Nov 1778.",https://books.google.com/books?id=6SM_AAAAcAAJ&pg=PA1#v=onepage&q&f=false
89,"L'Amant, Auteur et Valet","amant, auteur et valet",Comédie,"Cérou's L'Amant, Auteur et Valet was first performed in Paris by the Comédiens italiens on 8 Feb 1740.",https://books.google.com/books?id=IZoTAAAAQAAJ&pg=PA1#v=onepage&q&f=false
37,L'Ami de la maison,ami de la maison,Comédie mêlée d'ariettes,L'Ami de la maison was first performed at Fontainebleau on 26 Oct 1771.,https://books.google.com/books?id=ZWtXAAAAcAAJ&newbks=1&pg=PP5#v=onepage&q&f=false
200,L'Amitié à l'epreuve,amitie à l'epreuve,Comédie mêlée d'ariettes,First performed at Fontainebleau on 13 Nov 1770.,https://books.google.com/books?id=sAP4qF503b4C&pg=PA1#v=onepage&q&f=false
49,L'Amoreux de quinze ans,amoreux de quinze ans,Comédie mêlée d'ariettes,First performed by the Comédiens italiens in Paris on 18 Apr 1771.,https://books.google.com/books?id=Di5MAAAAcAAJ&pg=PA1#v=onepage&q&f=false
85,Andromeda und Perseus,andromeda und perseus,Schauspiel,"""Ein Schauspiel mit Musik""",https://books.google.com/books?id=YOMv9925cmcC&\pg=PA1#v=onepage&q&f=false
138,Der argwöhnische Ehemann,argwoehnische ehemann,Lustspiel,,
66,Ariadne auf Naxos,ariadne auf naxos,Duodrama,"Brandes and Benda's Ariadne auf Naxos was first performed in Gotha on 27 Jan 1775. The first performance by the court theater in Vienna took place on 4 Jan 1780.The performance iin the Burgtheater on Fri, 11 May 1781 may have been a benefit. It is not listed in Hadamowsky.",
253,Der Arrestant,arrestant,Lustspiel,The attribution to Franke is from Hadamowsky.,https://books.google.com/books?id=ttR8QPDlOsgC&pg=PA1#v=onepage&q&f=false
136,Athelstan,athelstan,Trauerspiel,First performed in 1756. Translator/adapter unknown,https://books.google.com/books?id=BB5ejTjxeEEC&newbks=1&pg=PA1#v=onepage&q&f=false
135,L'Avocat Patelin,avocat patelin,Comédie,First performed by the Comédiens françois in Paris on 4 Jun 1706.,https://books.google.com/books?id=IiQ_AAAAcAAJ&pg=PA1#v=onepage&q&f=false
276,Die Bachanten,bachanten,Divertissement,,
32,Le Barbier de Séville,barbier de seville,Comédie,Le Barbier de Séville was first performed by the Comédie Française in Paris on 23 Feb 1775.,https://books.google.com/books?id=eI0HAAAAQAAJ&pg=PA1#v=onepage&q&f=false
15,Der Barbier von Sevilien,barbier von sevilien,Lustspiel,,
209,Les Battus paient l'amende,battus paient l'amende,Comédie,"Two works with this subtitle on CÉSAR: Le Poulet ou les Battu paient l'amende (Carrogis, 1768); Janot, ou les Battus paient l'amende (Archambault, 1779). Schletter's ""patient"" is evidently an error.",https://books.google.com/books?id=Fl1oAAAAcAAJ&pg=PA1#v=onepage&q&f=false
174,Bauern verstehn nicht Spaß,bauern verstehn nicht spaß,Ballet,This ballet remains unidentified.,
42,Bekir und Gulroui,bekir und gulroui,Lustspiel,,
8,La Belle Arsène,belle arsène,Comédie mêlée d'ariettes,La Belle Arsène was first performed at Fontainebleau on 6 Nov 1773.,https://books.google.com/books?id=1ij5NkwMdqoC&pg=PA1#v=onepage&q&f=false
33,La Belle Cordonniere,belle cordonniere,Opéra comique,"This may be Les souliers mors-dorés, ou La cordonniere allemande (1776). The Schatz record gives the composer as Alessandro Mario Antonio Fridzeri (1741–1825).",https://www.loc.gov/item/2010664134/
19,Betrug für Betrug,betrug fuer betrug,Lustspiel,Burgtheater premiere on 30 Sep 1780,
12,Der Bettelstudent,bettelstudent,Lustspiel,Did the version performed in 1781 already have the music by Peter von Winter?,
21,Der Bettler,bettler,Lustspiel,,
53,La Bonne Fille,bonne fille,Opéra comique,"This might be the work by Duni (1762), derived from Goldoni/Richardson, but the French version of Piccinni's opera cannot be ruled out.",
127,Die Brüder,brueder,Lustspiel,,
234,"Le Bûcheron, ou les Trois souhaits","bûcheron, ou les trois souhaits",Comédie mêlée d'ariettes,First performed in Paris on 28 Feb 1763. Date on Viennese libretto at link is 1768.,https://books.google.com/books?id=AJH7srfnUfEC&pg=PA1#v=onepage&q&f=false
124,"Le Cercle, ou la Soirée à la mode","cercle, ou la soiree à la mode",Comédie,The Viennese playbook linked below is dated 1768.,https://books.google.com/books?id=jjVovZ0CfTEC&pg=PA1#v=onepage&q&f=false
227,La Clochette,clochette,Comédie mêlée d'ariettes,First performed in Paris on 14 Jul 1766.,https://books.google.com/books?id=42xXAAAAcAAJ&newbks=1&pg=PA1#v=onepage&q&f=false
272,Der Codrus,codrus,Trauerspiel,The earliest Viennese performance in Hadamowsky is 1 Apr 1771 in the Kärntnertortheater. Der Codrus had been in the repertory of the Nationaltheater since 4 Sep 1777.,
172,La Colonie,colonie,Opéra comique,"A parody of Saccini's L'isola d'amore, using a pastiche of music from Sacchini's operas. First performed in Paris on 16 Aug 1775.Libretto also here: https://digital.library.unt.edu/ark:/67531/metadc41/",https://books.google.com/books?id=aSSnQwlF0XAC&pg=PA1#v=onepage&q&f=false
191,"La Comédie à l'impromptu, ou les Dupes","comedie à l'impromptu, ou les dupes",Comédie,"Attribution to Dorvigny is on the title page. First performed by the Comédiens Italiens in Paris on 5 Sep 1780.Apparently the same work as Le mariage par comédie, ou les dupes, dated to 1789 in the works list on fr.wikipedia.",https://books.google.com/books?id=7V1oAAAAcAAJ&pg=PA1#v=onepage&q&f=false
281,Concert,concert,Concert,A generic record for concerts,
166,Crispin médecin,crispin medecin,Comédie,Written in 1670. The Viennese libretto at the link is dated 1772.,https://books.google.com/books?id=KZdLAAAAcAAJ&pg=PA1#v=onepage&q&f=false
173,"Crispin, Rival de son maître","crispin, rival de son maître",Comédie,First dated performance Paris 15 Mar 1705 (CÉSAR).,https://books.google.com/books?id=n0MGAAAAQAAJ&pg=PA1#v=onepage&q&f=false
