id,title,sort_title,genre,notes,url,author,composer
106,Die abgenöthige Einwilligung,abgenöthige Einwilligung,Lustspiel,Adapted from Le Consentement forcé,NA,"Gebler, Tobias Philipp von",NA
154,Die abgeredte Zauberey,abgeredte Zauberey,Singspiel,NA,NA,"Marmontel, Jean-Françoise","Grétry, André Ernest Modeste"
81,"Adelaide, oder die Antipathie gegen die Liebe","Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Adapted from Du Doyer's Adélaïde ou l'Antipathie contre l'amour (1780),NA,"Du Doyer de Gastels, Gérard",NA
47,Adelheid von Ponthieu,Adelheid von Ponthieu,Ballet,"Noverre and Starzer's ballet d'action in 5 acts Adèle de Ponthieu was first performed in the Burgtheater in 1773. The ballet performed in 1781 might have been the ""imitation"" by ""Herr Vogt"" (either Peter or his brother Elias) that was in the repertory of the Böhm company from at least 1779; see https://sites.google.com/site/mozartdocuments/documents/1780-05-01.",https://books.google.com/books?id=vfx2FF8fNggC&pg=PA1#v=onepage&q&f=false,"Noverre, Jean-Georges","Starzer, Joseph"
211,Adelheit von Veltheim,Adelheit von Veltheim,Singspiel,"The composer attribution is from the title page of the Viennese libretto; it is not Neefe's setting. The music for Sardi's version is unknown. ""Aufgefüht im k. k. Nationaltheater von der in / der Schauspielkunst sich übenden Jugend.""",https://books.google.com/books?id=RTJJAAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Großmann, Gustav Friedrich Wilhelm","Sardi, Joseph"
94,"Adrast und Isidore, oder die Nachtmusik","Adrast und Isidore, oder die Nachtmusik",Singspiel,Performed only twice,NA,"Bretzner, Christoph Friedrich","Miča, František Adam"
220,Der Aepfeldieb,Aepfeldieb,Singspiel,"""Herr Jast"" is the attribution on the libretto. Perhaps Just?",https://books.google.com/books?id=ZyVxt0M0kjAC&pg=PA1#v=onepage&q&f=false,"Bretzner, Christoph Friedrich","Jast, Herr"
56,Agamemnon,Agamemnon,Ballet,"Noverre's Agamemnon vengé was first performed in Vienna in 1772 with music by Franz Aspelmayr. The ballet performed in 1781 was probably Decamp's ""Wiederhestellung"" of Noverre's scenario, Der gerächte Agamemnon (Vienna 1780).",https://books.google.com/books?id=0ZdDAAAAcAAJ&pg=PA1#v=onepage&q&f=false,Decamp,unknown
75,Agnes Bernauerinn,Agnes Bernauerinn,Trauerspiel,NA,NA,"Toerring, Joseph August Graf von",NA
261,Alceste,Alceste,Tragedia per musica,NA,NA,"Calzabigi, Ranieri de'","Gluck, Christoph Willibald"
20,"Aline, reine de Golconde","Aline, reine de Golconde",Opéra-ballet,"Viennese libretto, 1780: ""Representé pour la premiere fois à Vienne, pour le / Benefice de M. DUPONT."" Monsigny and Sedaine's opéra-ballet Aline, reine da Golconde was first performed in Paris on 12 Apr 1766 with choreography by Jean-Barthèlemy Lany.",http://data.onb.ac.at/rep/10652DFA,"Sedaine, Michel-Jean","Monsigny, Pierre-Alexandre"
13,"L'Amant jaloux, ou les Fausses Apparences","Amant jaloux, ou les Fausses Apparences",Comédie mêlée d'ariettes,"L'Amant jaloux, with music by Grétry, a book by Thomas Hales, and verse sections by F. Levasseur, was first performed at Versailles on 20 Nov 1778.",https://books.google.com/books?id=6SM_AAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Hales, Thomas","Grétry, André Ernest Modeste"
89,"L'Amant, Auteur et Valet","Amant, Auteur et Valet",Comédie,"Cérou's L'Amant, Auteur et Valet was first performed in Paris by the Comédiens italiens on 8 Feb 1740.",https://books.google.com/books?id=IZoTAAAAQAAJ&pg=PA1#v=onepage&q&f=false,"Cérou, Pierre",NA
37,L'Ami de la maison,Ami de la maison,Comédie mêlée d'ariettes,L'Ami de la maison was first performed at Fontainebleau on 26 Oct 1771.,https://books.google.com/books?id=ZWtXAAAAcAAJ&newbks=1&pg=PP5#v=onepage&q&f=false,"Marmontel, Jean-Françoise","Grétry, André Ernest Modeste"
200,L'Amitié à l'epreuve,Amitié à l'epreuve,Comédie mêlée d'ariettes,First performed at Fontainebleau on 13 Nov 1770.,https://books.google.com/books?id=sAP4qF503b4C&pg=PA1#v=onepage&q&f=false,"Favart, Charles-Simon","Grétry, André Ernest Modeste"
49,L'Amoreux de quinze ans,Amoreux de quinze ans,Comédie mêlée d'ariettes,First performed by the Comédiens italiens in Paris on 18 Apr 1771.,https://books.google.com/books?id=Di5MAAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Laujon, Pierre","Martini, Jean-Paul-Égide"
85,Andromeda und Perseus,Andromeda und Perseus,Schauspiel,"""Ein Schauspiel mit Musik""",https://books.google.com/books?id=YOMv9925cmcC&\pg=PA1#v=onepage&q&f=false,"Kempelen, Wolfgang von","Zimmermann, Anton"
138,Der argwöhnische Ehemann,argwöhnische Ehemann,Lustspiel,NA,NA,"Gotter, Friedrich Wilhelm",NA
66,Ariadne auf Naxos,Ariadne auf Naxos,Duodrama,"Brandes and Benda's Ariadne auf Naxos was first performed in Gotha on 27 Jan 1775. The first performance by the court theater in Vienna took place on 4 Jan 1780.The performance iin the Burgtheater on Fri, 11 May 1781 may have been a benefit. It is not listed in Hadamowsky.",NA,"Brandes, Johann Christian","Benda, Georg"
253,Der Arrestant,Arrestant,Lustspiel,The attribution to Franke is from Hadamowsky.,https://books.google.com/books?id=ttR8QPDlOsgC&pg=PA1#v=onepage&q&f=false,"Carmontelle, Louis Carrogis de",NA
136,Athelstan,Athelstan,Trauerspiel,First performed in 1756. Translator/adapter unknown,https://books.google.com/books?id=BB5ejTjxeEEC&newbks=1&pg=PA1#v=onepage&q&f=false,"Brown, John",NA
135,L'Avocat Patelin,Avocat Patelin,Comédie,First performed by the Comédiens françois in Paris on 4 Jun 1706.,https://books.google.com/books?id=IiQ_AAAAcAAJ&pg=PA1#v=onepage&q&f=false,"Brueys, David Augustin de",NA
32,Le Barbier de Séville,Barbier de Séville,Comédie,Le Barbier de Séville was first performed by the Comédie Française in Paris on 23 Feb 1775.,https://books.google.com/books?id=eI0HAAAAQAAJ&pg=PA1#v=onepage&q&f=false,"Beaumarchais, Pierre-Augustin Caron de",NA
15,Der Barbier von Sevilien,Barbier von Sevilien,Lustspiel,NA,NA,"Beaumarchais, Pierre-Augustin Caron de",NA
209,Les Battus paient l'amende,Battus paient l'amende,Comédie,"Two works with this subtitle on CÉSAR: Le Poulet ou les Battu paient l'amende (Carrogis, 1768); Janot, ou les Battus paient l'amende (Archambault, 1779). Schletter's ""patient"" is evidently an error.",https://books.google.com/books?id=Fl1oAAAAcAAJ&pg=PA1#v=onepage&q&f=false,unknown,unknown
174,Bauern verstehn nicht Spaß,Bauern verstehn nicht Spaß,Ballet,This ballet remains unidentified.,NA,unknown,unknown
42,Bekir und Gulroui,Bekir und Gulroui,Lustspiel,NA,NA,"Cardonne, Denis Dominique",NA
8,La Belle Arsène,Belle Arsène,Comédie mêlée d'ariettes,La Belle Arsène was first performed at Fontainebleau on 6 Nov 1773.,https://books.google.com/books?id=1ij5NkwMdqoC&pg=PA1#v=onepage&q&f=false,"Favart, Charles-Simon","Monsigny, Pierre-Alexandre"
33,La Belle Cordonniere,Belle Cordonniere,Opéra comique,"This may be Les souliers mors-dorés, ou La cordonniere allemande (1776). The Schatz record gives the composer as Alessandro Mario Antonio Fridzeri (1741–1825).",https://www.loc.gov/item/2010664134/,unknown,unknown
19,Betrug für Betrug,Betrug für Betrug,Lustspiel,Burgtheater premiere on 30 Sep 1780,NA,"Schletter, Salomon Friedrich",NA
12,Der Bettelstudent,Bettelstudent,Lustspiel,Did the version performed in 1781 already have the music by Peter von Winter?,NA,"Weidmann, Paul",NA
21,Der Bettler,Bettler,Lustspiel,NA,NA,"Bock, Johann Christian",NA
